,count,percent,state code,pop,pop perc,des100k
AGUASCALIENTES,223,0.6154100894138426,MX01,1312544,1.0980807755943403,16.989906624082696
BAJA CALIFORNIA,1024,2.825918975604371,MX02,3315766,2.7739861680593894,30.88275831286044
BAJA CALIFORNIA SUR,39,0.10762777348493212,MX03,712029,0.5956869686392704,5.4773049974088135
CAMPECHE,35,0.09658902748647753,MX04,899931,0.7528867073876306,3.8891870598968143
CHIAPAS,108,0.29804614195827356,MX05,5217908,4.365327534634963,2.069795021299724
CHIHUAHUA,2186,6.032674688155425,MX06,3556574,2.975447327006687,61.463644507326435
CIUDAD DE MEXICO,744,2.053206755712551,MX09,8918653,7.461389030384344,8.342066901806808
COAHUILA DE ZARAGOZA,1753,4.837730433822718,MX07,2954915,2.4720964440166195,59.324887517915066
COLIMA,593,1.6364940942708908,MX08,711235,0.5950227043282668,83.37609932019656
DURANGO,420,1.1590683298377304,MX10,1754754,1.4680358397869107,23.934978920122138
ESTADO DE MEXICO,3890,10.735180483497075,MX15,16187608,13.542632588055827,24.030727702326374
GUANAJUATO,615,1.697207197262391,MX11,5853677,4.897215011640562,10.506216861640983
GUERRERO,1482,4.08985539242742,MX12,3533251,2.9559351903246505,41.94437360946052
HIDALGO,173,0.47742576443316037,MX13,2858359,2.391317218810998,6.052423785815567
JALISCO,3362,9.278066011701071,MX14,7844830,6.563023419257372,42.856250549725104
MICHOACAN,1215,3.3530190970305775,MX16,4584471,3.835391020316089,26.502512503623645
MORELOS,241,0.6650844464068881,MX17,1903811,1.5927376601965622,12.658819599214418
NAYARIT,145,0.40015454244397836,MX18,1181050,0.9880722474947091,12.277210956352398
NUEVO LEON,2895,7.989292416381499,MX19,5119504,4.283002263526653,56.54844688079157
OAXACA,191,0.527100121426206,MX20,3967889,3.3195554820198416,4.813642720348276
PUEBLA,2069,5.709791367700629,MX21,6168863,5.160901171751369,33.53940588403406
QUERETARO,284,0.7837509658902748,MX22,2038372,1.7053120556033066,13.932687458422702
QUINTANA ROO,61,0.16834087647643228,MX23,1501562,1.2562141654397785,4.062436316315943
SAN LUIS POTOSI,97,0.26768959046252344,MX24,2717820,2.2737415991584355,3.569036948730968
SINALOA,3027,8.3535710343305,MX25,2966321,2.481638759799122,102.04559789719319
SONORA,2150,5.9333259741693345,MX26,2850330,2.384600117862575,75.4298625071483
TABASCO,67,0.18489899547411415,MX27,2395272,2.0038963535846466,2.797177105564629
TAMAULIPAS,5990,16.53052213268573,MX28,3441698,2.8793414995622926,174.0419990365221
TLAXCALA,24,0.06623247599072746,MX29,1272847,1.0648700698589375,1.885536910563485
VERACRUZ,524,1.4460757257975494,MX30,8112505,6.786961642743377,6.459163969698632
YUCATAN,99,0.2732089634617507,MX31,2097175,1.7545069350490807,4.72063609379284
ZACATECAS,510,1.4074401148029583,MX32,1579209,1.3211740281053912,32.2946487766977
